2026-09-22 15:18:57.030046254 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer BiasDropoutFusion modified: 0 with status: OK
2026-09-22 15:18:57.030048242 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer MatMulScaleFusion on step 1.
2026-09-22 15:18:57.030056355 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer MatMulScaleFusion modified: 0 with status: OK
2026-09-22 15:18:57.030058023 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer MatMulActivationFusion on step 1.
2026-09-22 15:18:57.030060652 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer MatMulActivationFusion modified: 0 with status: OK
2026-09-22 15:18:57.030062753 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer MatMulNBitsFusion on step 1.
2026-09-22 15:18:57.030065762 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer MatMulNBitsFusion modified: 0 with status: OK
2026-09-22 15:18:57.030067556 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer GroupQueryAttentionPreNormFusion on step 1.
2026-09-22 15:18:57.030071671 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer GroupQueryAttentionPreNormFusion modified: 0 with status: OK
2026-09-22 15:18:57.030073606 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer QDQFinalCleanupTransformer on step 1.
2026-09-22 15:18:57.030077735 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer QDQFinalCleanupTransformer modified: 0 with status: OK
2026-09-22 15:18:57.030079642 [V:onnxruntime:, graph_transformer_mgr.cc:62 ApplyTransformers] Graph transformer step 1 of 10 for level 2 completed. graph_changed: 0.
2026-09-22 15:18:57.030081740 [V:onnxruntime:, graph_transformer_mgr.cc:67 ApplyTransformers] Stopping graph transformer iteration for level 2 after step 1 because the graph was not modified.
2026-09-22 15:18:57.030084176 [V:onnxruntime:, graph_transformer_mgr.cc:35 ApplyTransformers] Applying 3 graph transformer(s) for level 3 for up to 10 step(s).
2026-09-22 15:18:57.030086116 [V:onnxruntime:, graph_transformer_mgr.cc:43 ApplyTransformers] Graph transformer step 1 of 10 for level 3 started.
2026-09-22 15:18:57.030087964 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer NchwcTransformer on step 1.
2026-09-22 15:18:57.030091926 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer NchwcTransformer modified: 0 with status: OK
2026-09-22 15:18:57.030093749 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer NhwcTransformer on step 1.
2026-09-22 15:18:57.030097635 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer NhwcTransformer modified: 0 with status: OK
2026-09-22 15:18:57.030100308 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer ConvAddActivationFusion on step 1.
